X,Y,OBJECTID,NoticeNum,DateNotice,DateCancel,DateAbate,NT,OWNER_ABBR,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address
1411074.19886447,598468.355480149,723192,805231A,2012/01/25 15:37:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 003,2041 W NORTH AVE
1411088.4324318,598469.087434053,723193,1780434A,2019/04/20 08:55:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 004,2039 W NORTH AVE
1411130.65019514,598471.043466896,723196,927919A,2013/02/01 14:19:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 007,2033 W NORTH AVE
1411144.22726773,598471.677323893,723197,2106499A,2022/05/13 16:20:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 008,2031 W NORTH AVE
1411214.10015947,598474.912881732,723202,2078873A,2022/02/10 16:01:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 013,2021 W NORTH AVE
1411242.62241213,598476.937483981,723204,1349596A,2016/01/28 14:47:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 015,2017 W NORTH AVE
1411334.20031297,598421.584904388,723206,1895711A,2020/05/04 16:52:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 019,1824 N PAYSON ST
1411335.51297438,598393.782794639,723208,1853626A,2019/10/21 13:43:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 021,1820 N PAYSON ST
1411338.7961043,598324.752748981,723213,650080A,2010/12/14 16:57:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 026,1810 N PAYSON ST
1411339.4535833,598310.805270314,723214,2132186A,2022/10/26 16:54:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 027,1808 N PAYSON ST
1411340.1189363,598296.700311646,723215,290009A,2008/02/08 12:29:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 028,1806 N PAYSON ST
1411341.42864497,598269.242689401,723217,1774329A,2019/04/20 08:56:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 030,1802 N PAYSON ST
1411342.03527105,598254.531104639,723218,662322A,2011/01/18 11:38:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 031,1800 N PAYSON ST
1411268.51245221,598285.855188981,723220,1696318A,2018/07/22 07:52:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 033,2002 WESTWOOD AVE
1411227.79009272,598283.859786138,723223,1115813A,2014/07/16 15:47:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 033C,2008 WESTWOOD AVE
1411213.88231213,598283.18524681,723224,618449A,2010/09/01 18:29:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 033D,2010 WESTWOOD AVE
1411172.21310414,598281.139975309,723227,1990358A,2021/05/03 07:16:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 033G,2016 WESTWOOD AVE
1411144.57667647,598280.099623054,723229,1912688A,2020/07/09 15:23:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 033I,2020 WESTWOOD AVE
1411086.94030881,598256.347702056,723231,1862121A,2019/11/25 10:50:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 035,1803 N PULASKI ST
