X,Y,OBJECTID,NoticeNum,DateNotice,NT,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address,Year
1411088.432,598469.0874,723193,1780434A,2019/04/20 08:55:00+00,Vacant,I,7,EASTERWOOD,0001 004,2039 W NORTH AVE,2019
1411144.227,598471.6773,723197,2106499A,2022/05/13 16:20:00+00,Vacant,I,7,EASTERWOOD,0001 008,2031 W NORTH AVE,2022
1411214.1,598474.9129,723202,2078873A,2022/02/10 16:01:00+00,Vacant,I,7,EASTERWOOD,0001 013,2021 W NORTH AVE,2022
1411334.2,598421.5849,723206,1895711A,2020/05/04 16:52:00+00,Vacant,I,7,EASTERWOOD,0001 019,1824 N PAYSON ST,2020
1411335.513,598393.7828,723208,1853626A,2019/10/21 13:43:00+00,Vacant,I,7,EASTERWOOD,0001 021,1820 N PAYSON ST,2019
1411339.454,598310.8053,723214,2132186A,2022/10/26 16:54:00+00,Vacant,I,7,EASTERWOOD,0001 027,1808 N PAYSON ST,2022
1411341.429,598269.2427,723217,1774329A,2019/04/20 08:56:00+00,Vacant,I,7,EASTERWOOD,0001 030,1802 N PAYSON ST,2019
1411268.512,598285.8552,723220,1696318A,2018/07/22 07:52:00+00,Vacant,I,7,EASTERWOOD,0001 033,2002 WESTWOOD AVE,2018
1411172.213,598281.14,723227,1990358A,2021/05/03 07:16:00+00,Vacant,I,7,EASTERWOOD,0001 033G,2016 WESTWOOD AVE,2021
1411144.577,598280.0996,723229,1912688A,2020/07/09 15:23:00+00,Vacant,I,7,EASTERWOOD,0001 033I,2020 WESTWOOD AVE,2020
1411086.94,598256.3477,723231,1862121A,2019/11/25 10:50:00+00,Vacant,I,7,EASTERWOOD,0001 035,1803 N PULASKI ST,2019
1411081.05,598380.5551,723240,1812243A,2019/07/05 16:18:00+00,Vacant,I,7,EASTERWOOD,0001 044,1821 N PULASKI ST,2019
1411822.171,598426.0117,723255,1661999A,2018/05/04 09:12:00+00,Vacant,I,7,EASTERWOOD,0002 012,1822 N MONROE ST,2018
1411853.372,598514.5145,723258,1888687A,2020/03/23 09:14:00+00,Vacant,I,7,EASTERWOOD,0002 015,1901 W NORTH AVE,2020
1411759.844,598508.0729,723264,1788036A,2019/05/06 16:22:00+00,Vacant,I,7,EASTERWOOD,0002 021,1913 W NORTH AVE,2019
1411726.938,598505.7747,723266,1504911A,2017/02/23 12:28:00+00,Vacant,I,7,EASTERWOOD,0002 024,1919 W NORTH AVE,2017
1411713.314,598506.753,723267,1539686A,2017/05/30 11:27:00+00,Vacant,I,7,EASTERWOOD,0002 025,1921 W NORTH AVE,2017
1411699.964,598503.7954,723268,1773353A,2019/03/26 08:33:00+00,Vacant,I,7,EASTERWOOD,0002 026,1923 W NORTH AVE,2019
1411685.631,598502.2947,723269,1826482A,2019/08/09 12:04:00+00,Vacant,I,7,EASTERWOOD,0002 027,1925 W NORTH AVE,2019
1411597.852,598496.8177,723271,1722166A,2018/09/13 10:53:00+00,Vacant,I,7,EASTERWOOD,0002 029,1931 W NORTH AVE,2018
1411569.489,598494.8334,723273,1796433A,2019/05/28 08:38:00+00,Vacant,I,7,EASTERWOOD,0002 031,1935 W NORTH AVE,2019
1411485.867,598373.1637,723287,1659442A,2018/04/28 19:03:00+00,Vacant,I,7,EASTERWOOD,0002 045,1817 N PAYSON ST,2018
1411585.171,598319.2583,723300,2104934A,2022/05/06 11:51:00+00,Vacant,I,7,EASTERWOOD,0002 058,1808 APPLETON ST,2022
1411584.552,598332.0572,723301,1740786A,2018/11/01 15:08:00+00,Vacant,I,7,EASTERWOOD,0002 059,1810 APPLETON ST,2018
1411724.105,598432.7493,723311,1646741A,2018/03/09 08:12:00+00,Vacant,I,7,EASTERWOOD,0002 069,1825 APPLETON ST,2018
1412298.275,598316.883,723325,2052524A,2021/10/22 19:42:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 002,1802 N FULTON AVE,2021
1412297.554,598332.1133,723326,1748111A,2018/12/09 09:32:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 003,1804 N FULTON AVE,2018
1412294.758,598361.7359,723328,1506669A,2017/03/01 12:07:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 005,1808 N FULTON AVE,2017
1412244.73,598431.1728,723333,2052641A,2021/10/22 20:04:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 010,1818 N FULTON AVE,2021
1412283.641,598549.6401,723341,1962352A,2021/01/08 12:42:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 018,1807 W NORTH AVE,2021
1412240.814,598547.3294,723344,2052522A,2021/10/22 19:39:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 021,1813 W NORTH AVE,2021
1412226.985,598546.8776,723345,1989804A,2021/04/28 16:14:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 022,1815 W NORTH AVE,2021
1412184.156,598544.4875,723348,2052529A,2021/10/22 19:54:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 025,1821 W NORTH AVE,2021
1412155.594,598543.0486,723350,1495782A,2017/01/24 11:09:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 027,1825 W NORTH AVE,2017
1411975.496,598374.606,723371,1751148A,2018/12/24 10:40:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 048,1813 N MONROE ST,2018
1411976.822,598303.9342,723376,1852346A,2019/10/18 14:06:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 053,1803 N MONROE ST,2019
1412034.203,598328.4214,723378,1797290A,2019/05/30 09:15:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 055,1838 WESTWOOD AVE,2019
1412075.704,598332.3357,723381,1776159A,2019/04/05 10:25:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0003 058,1832 WESTWOOD AVE,2019
1412512.776,598490.0185,723405,2052638A,2021/10/22 20:02:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0004 013,1825 N FULTON AVE,2021
1412515.371,598564.5141,723412,1597264A,2017/10/23 11:00:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0004 020,1731 W NORTH AVE,2017
1412573.466,598568.268,723416,1972168A,2021/02/23 13:09:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0004 024,1723 W NORTH AVE,2021
1412734.41,598578.9497,723426,1515320A,2017/03/31 15:10:00+00,Vacant,I,7,SANDTOWN-WINCHESTER,0004 034,1703 W NORTH AVE,2017
1413064.094,598598.4149,723456,1772258A,2019/03/19 10:52:00+00,Vacant,J,7,SANDTOWN-WINCHESTER,0005 005,1649 W NORTH AVE,2019
1412993.172,598593.8457,723461,1739306A,2018/11/04 17:32:00+00,Vacant,J,7,SANDTOWN-WINCHESTER,0005 010,1659 W NORTH AVE,2018
